Pot. Lampada,Pot. Ventoinha,Temp,Umidade,Tempo
100,0,25.6,48,0
100,0,25.7,49,1
100,0,25.7,49,2
100,0,26,49,3
100,0,26,49,4
100,0,26.1,49,5
100,0,26.1,49,6
100,0,26.3,49,7
100,0,26.3,49,8
100,0,26.5,49,9
100,0,26.5,49,10
100,0,26.4,50,11
100,0,26.4,50,12
100,0,26.7,51,13
100,0,26.7,51,14
100,0,27,51,15
100,0,27,51,16
100,0,27.1,52,17
100,0,27.1,52,18
100,0,27,53,19
100,0,27,53,20
100,0,27.4,53,21
100,0,27.4,53,22
100,0,27.4,53,23
100,0,27.4,53,24
100,0,27.7,55,25
100,0,27.7,55,26
100,0,28,56,27
100,0,28,56,28
100,0,27.9,57,29
100,0,27.9,57,30
100,0,28.1,58,31
100,0,28.1,58,32
100,0,28.5,59,33
100,0,28.5,59,34
100,0,28.5,61,35
100,0,28.5,61,36
100,0,28.8,60,37
100,0,28.8,60,38
100,0,28.5,62,39
100,0,28.5,62,40
100,0,28.8,63,41
100,0,28.8,63,42
100,0,29.2,63,43
100,0,29.2,63,44
100,0,29.2,65,45
100,0,29.2,65,46
100,0,29.5,66,47
100,0,29.5,66,48
100,0,29.4,67,49
100,0,29.4,67,50
100,0,29.6,67,51
100,0,29.6,67,52
100,0,29.6,68,53
100,0,29.6,68,54
100,0,30,70,55
100,0,30,70,56
100,0,30,68,57
100,0,30,68,58
100,0,30.3,69,59
100,0,30.3,69,60
100,0,30,70,61
100,0,30,70,62
100,0,30.5,71,63
100,0,30.5,71,64
100,0,30.5,72,65
100,0,30.5,72,66
100,0,30.9,71,67
100,0,30.9,71,68
100,0,30.9,72,69
100,0,30.9,72,70
100,0,31.2,72,71
100,0,31.2,72,72
100,0,31.1,73,73
100,0,31.1,73,74
100,0,31,73,75
100,0,31,73,76
100,0,31.5,74,77
100,0,31.5,74,78
100,0,31.5,74,79
100,0,31.5,74,80
100,0,32,74,81
100,0,32,74,82
100,0,31.9,74,83
100,0,31.9,74,84
100,0,31.6,75,85
100,0,31.6,75,86
100,0,32,75,87
100,0,32,75,88
100,0,32,75,89
100,0,32,75,90
100,0,32,75,91
100,0,32,75,92
100,0,32.5,75,93
100,0,32.5,75,94
100,0,32.5,75,95
100,0,32.5,75,96
100,0,32.8,76,97
100,0,32.8,76,98
100,0,32.6,76,99
100,0,32.6,76,100
100,0,32.6,77,101
100,0,32.6,77,102
100,0,33.1,77,103
100,0,33.1,77,104
100,0,33.1,78,105
100,0,33.1,78,106
100,0,33.1,78,107
100,0,33.1,78,108
100,0,33.6,78,109
100,0,33.6,78,110
100,0,33.4,78,111
100,0,33.4,78,112
100,0,33.3,79,113
100,0,33.3,79,114
100,0,33.7,79,115
100,0,33.7,79,116
100,0,33.7,79,117
100,0,33.7,79,118
100,0,33.8,78,119
100,0,33.8,78,120
100,0,34.2,78,121
100,0,34.2,78,122
100,0,34.2,78,123
100,0,34.2,78,124
100,0,34.2,77,125
100,0,34.2,77,126
100,0,34.3,76,127
100,0,34.3,76,128
100,0,34.3,75,129
100,0,34.3,75,130
100,0,34.4,75,131
100,0,34.4,75,132
100,0,34.8,75,133
100,0,34.8,75,134
100,0,34.8,74,135
100,0,34.8,74,136
100,0,35.2,74,137
100,0,35.2,74,138
100,0,34.9,72,139
100,0,34.9,72,140
100,0,34.9,72,141
100,0,34.9,72,142
100,0,35.6,71,143
100,0,35.6,71,144
100,0,35.6,71,145
100,0,35.6,71,146
100,0,35.6,69,147
100,0,35.6,69,148
100,0,36.2,68,149
100,0,36.2,68,150
100,0,35.7,68,151
100,0,35.7,68,152
100,0,36.3,67,153
100,0,36.3,67,154
100,0,36.4,66,155
100,0,36.4,66,156
100,0,36.4,64,157
100,0,36.4,64,158
100,0,37,65,159
100,0,37,65,160
100,0,36.6,64,161
100,0,36.6,64,162
100,0,36.9,62,163
100,0,36.9,62,164
100,0,37.2,61,165
100,0,37.2,61,166
100,0,37.2,62,167
100,0,37.2,62,168
100,0,37.8,61,169
100,0,37.8,61,170
100,0,37.6,60,171
100,0,37.6,60,172
100,0,37.4,59,173
100,0,37.4,59,174
100,0,38.1,58,175
100,0,38.1,58,176
100,0,38.1,59,177
100,0,38.1,59,178
100,0,38.2,59,179
100,0,38.2,59,180
100,0,38.5,59,181
100,0,38.5,59,182
100,0,38.3,58,183
100,0,38.3,58,184
100,0,38.3,58,185
