Potência Lâmpada (%),PWM Ventoinha (%),Temperatura (°C),Umidade (%),
1,0,30,67,0
1,0,29.6,65,1
1,0,29.6,65,2
1,0,29.6,67,3
1,0,29.6,67,4
1,0,29.9,68,5
1,100,29.9,68,6
1,100,29.9,69,7
1,100,29.9,69,8
1,100,30,69,9
1,100,30,69,10
1,100,29.8,69,11
1,100,29.8,69,12
1,100,29.6,70,13
1,100,29.6,70,14
1,100,29.6,70,15
1,100,29.6,70,16
1,100,29.4,70,17
1,100,29.4,70,18
1,100,29.2,70,19
1,100,29.2,70,20
1,100,29.2,69,21
1,100,29.2,69,22
1,100,29,68,23
1,100,29,68,24
1,100,29.2,68,25
1,100,29.2,68,26
1,100,28.8,67,27
1,100,28.8,67,28
1,100,28.8,66,29
1,100,28.8,66,30
1,100,28.8,67,31
1,100,28.8,67,32
1,100,28.5,66,33
1,100,28.5,66,34
1,100,28.5,65,35
1,100,28.5,65,36
1,100,28.5,64,37
1,100,28.5,64,38
1,100,28.2,63,39
1,100,28.2,63,40
1,100,28.1,64,41
1,100,28.1,64,42
1,100,28.4,64,43
1,100,28.4,64,44
1,100,28.4,63,45
1,100,28.4,63,46
1,100,28.1,62,47
1,100,28.1,62,48
1,100,28.1,62,49
1,100,28.1,62,50
1,100,28.1,61,51
1,100,28.1,61,52
1,100,28.1,60,53
1,100,28.1,60,54
1,100,28,61,55
1,100,28,61,56
1,100,27.7,61,57
1,100,27.7,61,58
1,100,27.7,60,59
1,100,27.7,60,60
1,100,27.7,60,61
1,100,27.7,60,62
1,100,27.7,60,63
1,100,27.7,60,64
1,100,27.7,59,65
1,100,27.7,59,66
1,100,27.6,59,67
1,100,27.6,59,68
1,100,27.5,58,69
1,100,27.5,58,70
1,100,27.4,58,71
1,100,27.4,58,72
1,100,27.5,57,73
1,100,27.5,57,74
1,100,27.6,57,75
1,100,27.6,57,76
1,100,27.6,57,77
1,100,27.6,57,78
1,100,27.6,57,79
1,100,27.6,57,80
1,100,27.7,57,81
1,100,27.7,57,82
1,100,27.7,56,83
1,100,27.7,56,84
1,100,27.5,56,85
1,100,27.5,56,86
1,100,27.5,56,87
1,100,27.5,56,88
1,100,27.4,56,89
1,100,27.4,56,90
1,100,27.4,56,91
1,100,27.4,56,92
1,100,27.4,55,93
1,100,27.4,55,94
1,100,27.4,55,95
1,100,27.4,55,96
1,100,27.4,55,97
1,100,27.4,55,98
1,100,27.4,55,99
1,100,27.4,55,100
1,100,27.4,54,101
1,100,27.4,54,102
1,100,27.4,54,103
1,100,27.4,54,104
1,100,27.3,54,105
1,100,27.3,54,106
1,100,27.3,54,107
1,100,27.3,54,108
1,100,27,54,109
1,100,27,54,110
1,100,27,54,111
1,100,27,54,112
1,100,27,53,113
1,100,27,53,114
1,100,27,53,115
1,100,27,53,116
1,100,27,53,117
1,100,27,53,118
1,100,27,53,119
1,100,27,53,120
1,100,27,53,121
1,100,27,53,122
1,100,27,53,123
1,100,27,53,124
1,100,27,53,125
1,100,27,53,126
1,100,27,53,127
1,100,27,53,128
1,100,26.8,53,129
1,100,26.8,53,130
1,100,26.7,53,131
1,100,26.7,53,132
1,100,26.7,53,133
1,100,26.7,53,134
1,100,26.7,53,135
1,100,26.7,53,136
1,100,26.7,53,137
1,100,26.7,53,138
1,100,26.7,53,139
1,100,26.7,53,140
1,100,26.8,53,141
1,100,26.8,53,142
1,100,26.9,53,143
1,100,26.9,53,144
1,100,26.8,53,145
1,100,26.8,53,146
1,100,26.8,52,147
1,100,26.8,52,148
1,100,27,52,149
1,100,27,52,150
1,100,27,52,151
1,100,27,52,152
1,100,26.9,52,153
1,100,26.9,52,154
1,100,26.8,52,155
1,100,26.8,52,156
1,100,26.7,52,157
1,100,26.7,52,158
1,100,26.7,52,159
1,100,26.7,52,160
1,100,26.7,52,161
1,100,26.7,52,162
1,100,26.7,52,163
1,100,26.7,52,164
1,100,26.7,52,165
1,100,26.7,52,166
1,100,26.7,52,167
1,100,26.7,52,168
1,100,26.7,52,169
1,100,26.7,52,170
1,100,26.7,52,171
1,100,26.7,52,172
1,100,26.7,52,173
1,100,26.7,52,174
1,100,26.7,51,175
1,100,26.7,51,176
1,100,26.7,51,177
1,100,26.7,51,178
1,100,26.7,51,179
1,100,26.7,51,180
1,100,26.7,51,181
1,100,26.7,51,182
1,100,26.5,51,183
1,100,26.5,51,184
1,100,26.4,51,185
1,100,26.4,51,186
1,100,26.4,51,187
1,100,26.4,51,188
1,100,26.3,51,189
1,100,26.3,51,190
1,100,26.3,51,191
1,100,26.3,51,192
1,100,26.3,51,193
1,100,26.3,51,194
1,100,26.3,51,195
1,100,26.3,51,196
1,100,26.3,51,197
1,100,26.3,51,198
1,100,26.3,51,199
1,100,26.3,51,200
1,100,26.3,51,201
1,100,26.3,51,202
1,100,26.3,51,203
1,100,26.3,51,204
1,100,26.3,51,205
1,100,26.3,51,206
1,100,26.3,51,207
1,100,26.3,51,208
1,100,26.3,51,209
1,100,26.3,51,210
1,100,26.3,51,211
1,100,26.3,51,212
